species,family,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,Class,iucn_category,pred_50,pred_05,pred_95,pred_25,pred_75,observed_homerange,predicted_homerange,predicted_pld,observed_pld
Trachurus capensis,Carangidae,510000,pelagic,pelagic-neritic,60,NA,2291234.841,0.28187887,3.519719745,Actinopteri,LC,0.04451615,0.04451615,8.5,0.025016,0.75925,NA,0.06461549,42.76128993,NA
Trachurus declivis,Carangidae,1517500,pelagic,benthopelagic,64,NA,147861.1578,0.289613477,3.949320197,Actinopteri,LC,0.048,0.048,9.919689167,0.021891852,0.631142013,NA,0.076273237,43.18730153,NA
Trachurus japonicus,Carangidae,525000,pelagic,pelagic-neritic,50,NA,1673773.132,0.601339121,3.454345763,Actinopteri,NT,0.218337659,0.218337659,69.37218463,0.025016,0.419377278,NA,0.072554128,33.65837976,NA
Trachurus lathami,Carangidae,2837500,pelagic,reef-associated,40,NA,4045.653756,0.704050364,3.99,Actinopteri,LC,0.222006046,0.222006046,69.37218463,0.021204,0.77,NA,0.060709977,30.54590291,NA
Trachurus mediterraneus,Carangidae,2082500,pelagic,pelagic-oceanic,60,NA,196943.5002,0.392946037,3.77,Actinopteri,LC,0.222006046,0.222006046,42.10249306,0.040637322,3.75,NA,0.077173765,32.29485704,NA
Trachurus murphyi,Carangidae,6805000,pelagic,pelagic-oceanic,70,NA,10384286.67,0.246772596,3.33,Actinopteri,DD,0.218337659,0.218337659,39.83,0.02836049,3.75,NA,0.071084687,81.97205708,NA
Trachurus symmetricus,Carangidae,12545000,pelagic,pelagic-oceanic,81,NA,97859.78073,0.238376295,3.57,Actinopteri,LC,0.218337659,0.218337659,69.37218463,0.026156171,8.5,NA,0.150667305,29.05903427,1.5
Trachurus trachurus,Carangidae,217500,pelagic,pelagic-neritic,70,NA,16544709.45,0.412444993,3.71,Actinopteri,VU,0.003297,0.003297,7.78,6.45E-06,0.092101591,NA,0.010028387,76.16806633,NA
Trachurus trecae,Carangidae,730000,pelagic,benthopelagic,35,NA,3004486.97,0.478731232,3.538398025,Actinopteri,LC,0.218337659,0.218337659,5.225688042,0.020686774,0.419377278,NA,0.028695271,33.54053011,NA
Tragulichthys jaculiferus,Diodontidae,1675000,habitat_benthic,reef-associated,30,NA,36.2166677,0.824040474,3.547737166,Actinopteri,NA,0.003297,0.003297,0.419377278,8.13E-06,0.060991803,NA,0.008062525,46.71759144,NA
Trichiurus lepturus,Trichiuridae,17082500,habitat_coastal,benthopelagic,234,NA,25390267.52,0.583280022,4.42,Actinopteri,LC,24.63249455,24.63249455,138546.9177,0.75925,28773,NA,10.61781242,71.55962604,NA
Trisopterus esmarkii,Gadidae,1107500,migratory,benthopelagic,35,NA,499895.1945,0.615787528,3.24,Actinopteri,LC,0.218337659,0.218337659,69.37218463,0.020686774,0.390708752,NA,0.031934088,39.1462762,NA
Trisopterus luscus,Gadidae,1130000,habitat_coastal,benthopelagic,46,NA,61292.12745,0.880553021,3.73,Actinopteri,NA,0.218337659,0.218337659,69.37218463,0.021204,0.419377278,NA,0.085071027,40.94007521,NA
Trisopterus minutus,Gadidae,1602500,habitat_benthic,benthopelagic,40,NA,6807.29384,0.709260995,3.73,Actinopteri,NA,0.060991803,0.060991803,4.477796392,0.020686774,0.419377278,NA,0.043063672,43.5991732,NA
Tylosurus crocodilus,Belonidae,12982500,habitat_coastal,reef-associated,150,NA,353.3717566,0.696411061,4.43,Actinopteri,NA,5.55,5.55,93840.98602,0.019379506,24.63249455,NA,4.635139676,29.65264941,NA
Umbrina canariensis,Sciaenidae,2567500,habitat_benthic,demersal,80,NA,11581.93929,0.378795976,3.426328342,Actinopteri,LC,0.190553387,0.190553387,4.17,0.025016,0.364,NA,0.056318938,45.9271977,NA
Umbrina canosai,Sciaenidae,347500,habitat_benthic,demersal,40,NA,56568.85569,0.680525062,3.874607075,Actinopteri,NA,6.04E-04,6.04E-04,3.790022135,6.45E-06,0.039061118,NA,0.006081015,50.84039859,NA
Umbrina cirrosa,Sciaenidae,1472500,habitat_reef,demersal,73,NA,3945.84549,0.434111271,3.463684903,Actinopteri,NA,0.145837,0.145837,4.980503952,0.025016,0.419377278,NA,0.068996544,28.41127024,NA
Uranoscopus scaber,Uranoscopidae,2260000,sedentary,demersal,56.40000153,NA,1454.422055,0.644695944,4.369581509,Actinopteri,LC,0.021204,0.021204,220.625,0.0013065,0.341291664,NA,0.063010172,24.8686799,NA
Urophycis brasiliensis,Phycidae,62500,habitat_benthic,demersal,52.20000076,NA,23685.99795,0.37513184,3.958659337,Actinopteri,NA,0.003297,0.003297,3.790022135,6.45E-06,0.025016,NA,0.007304298,49.93900645,NA
Urophycis chuss,Phycidae,492500,migratory,demersal,66,NA,132954.9808,0.303554299,3.72,Actinopteri,NA,0.04451615,0.04451615,8.5,0.025016,3.75,NA,0.077988528,49.68801199,NA
Urophycis tenuis,Phycidae,565000,migratory,demersal,133,NA,65329.05888,0.178334746,4.27,Actinopteri,NA,0.040637322,0.040637322,9.682782451,0.014020895,0.178442454,NA,0.08108985,40.66516908,NA
Variola louti,Serranidae,12655000,habitat_reef,reef-associated,83,NA,3312.079611,0.375052579,4.33,Actinopteri,LC,0.04451615,0.04451615,39.83,0.0013065,4.17,NA,0.122616249,30.33681196,NA
Xiphias gladius,Xiphiidae,266090000,hms,pelagic-oceanic,455,NA,229574.405,0.315549819,4.53,Actinopteri,LC,28773,28773,537466.5429,1070.527249,119173.5,NA,4328.366843,37.64689322,NA
Xyrichtys novacula,Labridae,4975000,habitat_coastal,reef-associated,38,pearly razorfish,179.8277477,0.651045245,3.51,Actinopteri,LC,0.3026,0.3026,10.48565514,0.060991803,0.419377278,0.32,0.053745394,28.52060413,39
Zenopsis conchifer,Zeidae,8547500,habitat_reef,benthopelagic,80,NA,3095.415258,0.246372114,4.5,Actinopteri,LC,0.048,0.048,39.83,0.022602017,0.3026,NA,0.076411693,34.31743244,NA
Zenopsis nebulosa,Zeidae,6145000,deep,benthopelagic,70,NA,18348.48763,0.198679481,4.378920649,Actinopteri,NA,0.048,0.048,8.5,0.004257833,0.25,NA,0.051727286,49.94305994,NA
Zeus faber,Zeidae,10750000,habitat_reef,benthopelagic,90,NA,218388.0506,0.213577785,4.5,Actinopteri,DD,0.145837,0.145837,91382,0.014020895,8.5,NA,0.154102376,31.67603199,NA
Zoarces viviparus,Zoarcidae,927500,sedentary,demersal,52,NA,431.8090904,0.330738753,3.519719745,Actinopteri,NA,0.040637322,0.040637322,69.37218463,0.020686774,0.32,NA,0.051202411,36.73609824,NA
