species,family,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,Class,iucn_category,pred_50,pred_05,pred_95,pred_25,pred_75,observed_homerange,predicted_homerange,predicted_pld,observed_pld
Brama brama,Bramidae,140227500,migratory,pelagic-neritic,100,NA,70090.69367,0.25373223,4.089407301,Actinopteri,LC,24.63249455,24.63249455,537466.5429,0.524649642,91382,NA,394.0351897,46.54465969,NA
Bregmaceros mcclellandi,Bregmacerotidae,62220000,pelagic,pelagic-oceanic,9.600000381,NA,24255.36307,0.389520618,3.36095436,Actinopteri,NA,0.3026,0.3026,91382,2.14E-04,23.22898081,NA,0.745981378,36.11200266,NA
Brevoortia aurea,Clupeidae,317500,habitat_coastal,pelagic-neritic,34.40000153,NA,7670.443707,0.938769682,2.847301646,Actinopteri,LC,8.13E-06,8.13E-06,4.033909035,6.45E-06,0.049784973,NA,0.005149261,37.07042123,NA
Brevoortia patronus,Clupeidae,485000,habitat_coastal,pelagic-neritic,35,NA,977143.8443,0.843108206,2.324309791,Actinopteri,LC,0.025016,0.025016,69.37218463,0.0013065,0.222006046,NA,0.031898526,44.82612408,NA
Brevoortia tyrannus,Clupeidae,335000,migratory,pelagic-neritic,50,NA,762986.4651,0.724306854,3.23,Actinopteri,LC,0.003297,0.003297,69.37218463,6.45E-06,0.26653693,NA,0.010780456,41.24702549,NA
Brosme brosme,Lotidae,2245000,habitat_benthic,demersal,120,NA,449997.8369,0.105232173,3.9,Actinopteri,NA,0.029410133,0.029410133,7.78,0.0034,0.218337659,NA,0.049742023,59.60763704,NA
Brotula barbata,Ophidiidae,3760000,habitat_benthic,reef-associated,94,NA,22829.30435,0.276427346,3.67,Actinopteri,LC,0.040637322,0.040637322,8.5,0.0034,0.390708752,NA,0.05900089,56.0101106,NA
Callorhinchus callorynchus,Callorhinchidae,1385000,habitat_benthic,demersal,89.19999695,NA,61930.47979,0.166717262,3.35,Holocephali,LC,0.029410133,0.029410133,8.5,0.0034,0.25,NA,0.056961556,57.62422483,NA
Callorhinchus milii,Callorhinchidae,1070000,habitat_benthic,demersal,125,NA,69198.59537,0.114485214,3.641128568,Holocephali,LC,0.017712,0.017712,4.17,0.003297,0.04451615,NA,0.057368242,59.35720145,NA
Caprodon longimanus,Serranidae,1067500,habitat_reef,reef-associated,55,NA,18.2779701,0.392822614,3.939981057,Actinopteri,LC,0.060991803,0.060991803,3.75,0.020686774,0.32,NA,0.058432234,29.12652478,NA
Capros aper,Caproidae,2592500,habitat_reef,demersal,30,NA,770203.4273,0.435056667,3.14,Actinopteri,LC,0.04451615,0.04451615,4.17,8.13E-06,0.32,NA,0.008428239,36.87311052,NA
Carangoides bajad,Carangidae,5572500,habitat_reef,reef-associated,55,NA,7411.747198,0.975847099,3.986676758,Actinopteri,LC,0.021204,0.021204,69.37218463,0.0013065,0.419377278,NA,0.078114943,34.93098508,NA
Carangoides fulvoguttatus,Carangidae,13272500,habitat_reef,reef-associated,120,NA,221.7473477,1.009870027,4.43,Actinopteri,LC,0.190553387,0.190553387,93840.98602,0.002107629,23.22898081,NA,1.883524872,35.28789753,NA
Carangoides malabaricus,Carangidae,11795000,habitat_reef,reef-associated,60,NA,457.2905183,1.1685438,3.921302776,Actinopteri,LC,0.027348309,0.027348309,42.10249306,0.0013065,0.419377278,NA,0.137974514,38.80246646,NA
Caranx crysos,Carangidae,3710000,habitat_coastal,reef-associated,70,blue runner,18701.45839,0.710864347,4.13,Actinopteri,LC,0.021204,0.021204,220.625,0.019141686,0.3026,0.021204,0.088858271,29.46557768,NA
Caranx hippos,Carangidae,5142500,habitat_reef,reef-associated,124,NA,22718.78796,0.871413741,3.56,Actinopteri,LC,0.04451615,0.04451615,220.625,0.007726488,1.402653256,NA,0.098531318,38.60888143,NA
Caranx ignobilis,Carangidae,13842500,habitat_reef,reef-associated,170,giant trevally,47191.5377,0.422004473,4.22,Actinopteri,LC,23.22898081,23.22898081,91382,0.027348309,24.63249455,24.63249455,6.545800462,34.45279653,NA
Caranx melampygus,Carangidae,13410000,habitat_reef,reef-associated,117,NA,47.64517442,0.562323474,4.49,Actinopteri,LC,0.190553387,0.190553387,93840.98602,0.002075459,23.22898081,NA,1.873543143,33.47007267,57.6
Caranx rhonchus,Carangidae,1315000,habitat_coastal,benthopelagic,60,NA,10792.92494,0.643120381,3.641128568,Actinopteri,LC,0.04451615,0.04451615,69.37218463,0.020686774,0.390708752,NA,0.075320826,29.30189107,NA
Caranx ruber,Carangidae,2530000,habitat_reef,reef-associated,73,NA,95.90817563,0.824246729,4.28,Actinopteri,LC,0.021204,0.021204,220.625,0.0013065,0.190553387,NA,0.073492065,33.87296213,NA
Caranx sexfasciatus,Carangidae,11302500,habitat_reef,reef-associated,120,NA,273.4482874,0.730946249,4.5,Actinopteri,LC,0.029410133,0.029410133,359.0771463,0.0013065,8.5,NA,0.178084405,36.13384517,NA
Centriscops humerosus,Centriscidae,2030000,habitat_benthic,bathydemersal,30,NA,171.3204948,0.865629066,3.613111148,Actinopteri,LC,0.0013065,0.0013065,0.419377278,8.13E-06,0.218337659,NA,0.008045404,47.22374124,NA
Centroberyx affinis,Berycidae,777500,habitat_coastal,benthopelagic,51,NA,27515.24399,0.322306719,3.837250514,Actinopteri,NA,0.048,0.048,8.5,0.025016,0.419377278,NA,0.066746387,41.48521628,NA
Centropomus undecimalis,Centropomidae,2412500,habitat_coastal,reef-associated,140,common snook,17095.64486,0.641889095,4.17,Actinopteri,LC,4.17,4.17,220.625,0.021204,69.37218463,220.625,0.225042678,30.83860861,NA
Centropristis striata,Serranidae,632500,habitat_reef,reef-associated,66,black seabass,24088.86012,0.390595485,3.89,Actinopteri,LC,0.3026,0.3026,7.78,0.025016,3.75,3.75,0.076984026,32.13870411,NA
Cephalopholis argus,Serranidae,10685000,habitat_reef,reef-associated,60,peacock hind,173.6145665,0.453164741,4.48,Actinopteri,LC,0.027348309,0.027348309,220.625,0.00123027,0.32,0.0015,0.114838036,28.21012433,27.5
Cephalopholis boenak,Serranidae,10042500,habitat_reef,reef-associated,30,brown-banded seabass,467414.1572,0.477019133,4.07,Actinopteri,LC,8.13E-06,8.13E-06,25.84512199,8.13E-06,0.021891852,8.13E-06,0.008795077,33.28281846,31
Cephalopholis fulva,Serranidae,2405000,habitat_reef,reef-associated,44,NA,168.6480031,0.434585638,4.05,Actinopteri,LC,0.145837,0.145837,4.477796392,0.0013065,0.32,NA,0.059285204,29.5301771,NA
Cephalopholis hemistiktos,Serranidae,852500,territorial,reef-associated,35,yellowfin hind,1047.361541,0.369072173,4.14,Actinopteri,LC,0.020686774,0.020686774,4.951370958,2.14E-04,0.222006046,1.10E-05,0.023053853,31.80245798,NA
Cephalopholis miniata,Serranidae,11952500,territorial,reef-associated,50,coral hind,990.2623918,0.453164741,4.29,Actinopteri,LC,0.00123027,0.00123027,42.10249306,2.14E-04,0.048,2.14E-04,0.089479718,23.68710686,NA
Cepola macrophthalma,Cepolidae,2435000,sedentary,demersal,80,NA,468.7347157,0.662762944,3.202189083,Actinopteri,LC,0.222006046,0.222006046,77.88114116,0.02094379,0.77,NA,0.07171946,30.03202916,NA
Cetengraulis edentulus,Engraulidae,1587500,habitat_coastal,pelagic-neritic,20.5,NA,7724.578696,0.508114702,2.249596669,Actinopteri,LC,0.020686774,0.020686774,0.419377278,8.13E-06,0.222006046,NA,0.008809161,37.50913109,NA
Cetengraulis mysticetus,Engraulidae,595000,habitat_coastal,pelagic-neritic,22,NA,1118371.615,0.827513259,2.585805745,Actinopteri,LC,0.020686774,0.020686774,9.682782451,8.13E-06,0.115398472,NA,0.009941061,45.79107146,NA
Champsocephalus gunnari,Channichthyidae,492500,habitat_coastal,benthopelagic,66,NA,19590.15602,0.302585645,3.23,Actinopteri,NA,0.029410133,0.029410133,8.5,0.025016,0.390708752,NA,0.072797214,48.51977912,NA
Channichthys rhinoceratus,Channichthyidae,250000,habitat_coastal,demersal,60,NA,856.1592368,0.239394719,3.314258659,Actinopteri,NA,0.003297,0.003297,3.75,6.45E-06,0.029410133,NA,0.008022899,39.05415207,NA
Chanos chanos,Chanidae,11060000,habitat_reef,benthopelagic,180,NA,23425.16314,0.566145214,2.520431825,Actinopteri,LC,0.75925,0.75925,220.625,0.022602017,24.63249455,NA,0.596297134,38.97090782,40.282
Cheilinus undulatus,Labridae,7215000,habitat_reef,reef-associated,229,humphead wrasse,5398.268449,0.377461777,4.005355039,Actinopteri,EN,0.027348309,0.027348309,69.37218463,0.022602017,2.43042486,0.022602017,0.25362935,39.90905178,34.3
Cheilodactylus variegatus,Cheilodactylidae,160000,habitat_coastal,benthopelagic,44,NA,8316.033841,0.331364212,3.65,Actinopteri,NA,0.003297,0.003297,3.75,6.45E-06,0.190553387,NA,0.008441439,40.84457263,NA
Cheimerius nufar,Sparidae,3720000,habitat_reef,reef-associated,75,NA,141.3624149,0.437994781,3.54,Actinopteri,DD,0.218337659,0.218337659,8.5,0.029410133,0.419377278,NA,0.065828887,28.88851432,NA
Chelidonichthys capensis,Triglidae,515000,habitat_benthic,demersal,75,NA,8389.892709,0.277318922,4.1,Actinopteri,LC,0.025016,0.025016,4.17,0.003297,0.145837,NA,0.050598209,53.19176116,NA
Chelidonichthys cuculus,Triglidae,3207500,habitat_benthic,demersal,70,NA,32190.66906,0.230982835,3.81,Actinopteri,LC,0.048,0.048,8.5,0.004257833,0.77,NA,0.057271518,57.93136145,NA
Chelidonichthys kumu,Triglidae,4697500,habitat_benthic,demersal,60,NA,66428.5313,0.230796914,3.71584169,Actinopteri,LC,0.060991803,0.060991803,8.5,0.0034,0.77,NA,0.053700233,57.77286793,NA
Chelidonichthys lucerna,Triglidae,2402500,habitat_benthic,demersal,82.80000305,NA,31757.21311,0.345644436,3.98,Actinopteri,LC,0.048,0.048,10.48565514,0.014020895,3.75,NA,0.059004089,54.00302255,NA
Chimaera monstrosa,Chimaeridae,2207500,deep,bathydemersal,150,NA,294.9495138,0.115992732,3.52,Holocephali,NT,0.025016,0.025016,69.37218463,0.0034,0.341291664,NA,0.11678769,52.89138362,NA
Chirocentrus dorab,Chirocentridae,10000000,habitat_coastal,reef-associated,100,NA,53429.31708,0.401375297,4.38825979,Actinopteri,LC,0.021204,0.021204,24.63249455,0.002358571,0.048,NA,0.073301303,35.21226082,NA
Chirocentrus nudus,Chirocentridae,9657500,habitat_coastal,pelagic-neritic,100,NA,75935.1946,0.269567229,4.192137844,Actinopteri,LC,0.022602017,0.022602017,39.83,0.004257833,0.083667054,NA,0.07215982,37.4266868,NA
Chloroscombrus chrysurus,Carangidae,4080000,habitat_coastal,pelagic-neritic,65,NA,60228.06537,0.817300368,3.54,Actinopteri,LC,0.218337659,0.218337659,69.37218463,0.017712,0.419377278,NA,0.094991777,38.66406344,NA
Chloroscombrus orqueta,Carangidae,775000,habitat_coastal,benthopelagic,30,NA,6174.469341,0.883662012,2.54,Actinopteri,LC,0.020686774,0.020686774,0.902079429,8.13E-06,0.220164213,NA,0.01053902,38.25038007,NA
Cilus gilberti,Sciaenidae,285000,habitat_benthic,demersal,92,NA,39818.27394,0.624615121,3.939981057,Actinopteri,DD,0.00123027,0.00123027,7.78,6.45E-06,0.021204,NA,0.008395918,51.94828681,NA
Clupea harengus,Clupeidae,3810000,migratory,benthopelagic,45,NA,829839.7885,0.216471005,3.38,Actinopteri,LC,0.222006046,0.222006046,9.919689167,0.042532542,0.75925,NA,0.065367719,46.27912602,160
Clupeonella cultriventris,Clupeidae,270000,migratory,pelagic-neritic,14.5,NA,126214.606,0.907898346,3,Actinopteri,LC,8.13E-06,8.13E-06,5.020496609,6.45E-06,0.003297,NA,0.002580338,43.87484523,NA
Coelorinchus chilensis,Macrouridae,287500,habitat_deep,bathydemersal,48,NA,1276.456542,0.207374079,3.853333333,Actinopteri,NA,0.003297,0.003297,0.419377278,6.45E-06,0.025016,NA,0.008301399,37.16045566,NA
Cololabis saira,Scomberesocidae,10187500,pelagic,pelagic-oceanic,40,NA,1327967.399,0.461247094,3.743859111,Actinopteri,NA,0.218337659,0.218337659,69.37218463,0.015758747,0.635594387,NA,0.0586668,35.69808569,NA
Conger conger,Congridae,3262500,habitat_benthic,demersal,300,european conger,123532.8338,0.208342505,4.31,Actinopteri,LC,0.003297,0.003297,91382,6.04E-04,0.75925,6.04E-04,0.283969417,50.827262,NA
Conger myriaster,Congridae,1475000,habitat_benthic,bathydemersal,100,NA,265480.4857,0.269522379,3.996015898,Actinopteri,LC,0.025016,0.025016,4.17,0.004257833,0.04451615,NA,0.057308666,54.65276422,NA
Conger oceanicus,Congridae,1605000,territorial,demersal,230,NA,485.7036385,0.269522379,4.5,Actinopteri,LC,0.048,0.048,69.37218463,0.0017922,2.447570224,NA,0.21955627,44.29930265,NA
Conger orbignianus,Congridae,515000,habitat_benthic,demersal,112,NA,3468.19438,0.269522379,3.753198252,Actinopteri,LC,0.025016,0.025016,7.78,0.003297,0.040637322,NA,0.052555209,52.69232653,NA
Conodon nobilis,Haemulidae,2602500,habitat_benthic,demersal,33.59999847,NA,8375.276066,0.654886592,3.61,Actinopteri,LC,0.017712,0.017712,0.77,8.13E-06,0.32,NA,0.00855267,43.36681866,NA
Coregonus albula,Salmonidae,32500,migratory,benthopelagic,48,NA,20850.23819,0.420787903,3.136814941,Actinopteri,LC,0.003297,0.003297,8.730366522,6.45E-06,0.3026,NA,0.010251328,32.42940829,28
Coregonus lavaretus,Salmonidae,1395000,habitat_coastal,demersal,73,NA,18551.55656,0.390523349,3.13,Actinopteri,VU,0.145837,0.145837,4.17,0.023031267,0.419377278,NA,0.075780586,35.11379855,19
Coryphaena hippurus,Coryphaenidae,197602500,hms,pelagic-neritic,210,NA,293986.8201,0.795560345,4.37,Actinopteri,LC,28773,28773,537466.5429,24.63249455,119173.5,NA,1542.518381,35.59758648,NA
Coryphaenoides rupestris,Macrouridae,2527500,habitat_deep,bathypelagic,110,NA,511478.7341,0.071986899,3.69716341,Actinopteri,CR,0.040637322,0.040637322,220.625,0.004257833,0.3026,NA,0.065109049,60.92466675,NA
Cottoperca gobio,Bovichtidae,665000,territorial,demersal,80,NA,35.33597676,0.630179269,4.257511826,Actinopteri,NA,0.021204,0.021204,69.37218463,0.00123027,0.145837,NA,0.059807719,23.51767136,NA
Crenidens crenidens,Sparidae,1897500,habitat_coastal,demersal,30,NA,22.55929735,0.518987796,2.893997347,Actinopteri,LC,0.020686774,0.020686774,0.419377278,8.13E-06,0.32,NA,0.008257899,31.78400825,NA
Cromileptes altivelis,Serranidae,7332500,habitat_reef,reef-associated,70,NA,191382.417,0.151702421,4.481651192,Actinopteri,DD,0.048,0.048,76.92859317,0.017242362,0.75925,NA,0.074448076,31.91522788,24
Ctenolabrus rupestris,Labridae,1272500,habitat_reef,reef-associated,18,NA,2070.185701,0.491971324,3.58,Actinopteri,LC,0.025016,0.025016,0.419377278,8.13E-06,0.364,NA,0.008628694,26.5035929,20.9
Cyclopterus lumpus,Cyclopteridae,4235000,migratory,benthopelagic,61,NA,195061.7514,0.14428799,3.89,Actinopteri,NA,0.218337659,0.218337659,69.37218463,0.025016,3.75,NA,0.073949204,48.06082106,NA
Cymatoceps nasutus,Sparidae,135000,habitat_coastal,demersal,150,NA,107.9575144,0.189296689,3.603772007,Actinopteri,VU,0.003297,0.003297,9.682782451,6.45E-06,0.025016,NA,0.020427043,37.92367488,NA
Cynoponticus coniceps,Muraenesocidae,565000,sedentary,demersal,202,NA,41.31668095,0.409229387,4.0427116,Actinopteri,DD,0.048,0.048,69.37218463,0.003297,7.78,NA,0.213816386,46.82208228,NA
Cynoscion acoupa,Sciaenidae,1062500,habitat_coastal,demersal,110,NA,78789.14733,0.392131823,4.06138988,Actinopteri,LC,0.029410133,0.029410133,7.78,0.014020895,0.25703886,NA,0.074504386,39.25505889,NA
Cynoscion analis,Sciaenidae,12500,habitat_coastal,demersal,47,NA,24108.18213,0.551630808,4.06,Actinopteri,LC,0.0017922,0.0017922,3.790022135,6.45E-06,0.025016,NA,0.009316473,28.53682016,NA
Cynoscion arenarius,Sciaenidae,737500,habitat_coastal,demersal,63.5,NA,1093.045778,0.789800407,4.17,Actinopteri,LC,0.021204,0.021204,77.88114116,0.0013065,0.145837,NA,0.078335784,32.64518757,NA
Cynoscion guatucupa,Sciaenidae,497500,habitat_coastal,benthopelagic,50,NA,12600.54722,0.546839108,3.753198252,Actinopteri,NA,0.190553387,0.190553387,3.790022135,0.020686774,0.390708752,NA,0.065692324,30.35473389,NA
Cynoscion jamaicensis,Sciaenidae,1850000,habitat_coastal,demersal,56.90000153,NA,16743.59145,0.661378058,3.865267935,Actinopteri,LC,0.060991803,0.060991803,77.88114116,0.020686774,0.419377278,NA,0.076288948,30.44268028,NA
Cynoscion leiarchus,Sciaenidae,1052500,habitat_coastal,demersal,90.80000305,NA,3205.040971,0.646582686,3.136814994,Actinopteri,LC,0.060991803,0.060991803,69.37218463,0.020686774,0.419377278,NA,0.083924005,33.51338781,NA
Cynoscion nebulosus,Sciaenidae,557500,habitat_coastal,demersal,100,NA,23214.89583,0.436633792,3.996015898,Actinopteri,LC,0.025016,0.025016,7.78,0.007726488,0.311178405,NA,0.077246366,27.46066944,19.5
Cynoscion regalis,Sciaenidae,320000,habitat_coastal,demersal,98,NA,39327.35894,0.331251585,3.77,Actinopteri,NA,0.003297,0.003297,7.78,6.45E-06,0.025016,NA,0.010137533,42.76776977,NA
Cynoscion striatus,Sciaenidae,580000,habitat_reef,demersal,60,NA,93747.47506,0.561883634,3.9,Actinopteri,NA,0.218337659,0.218337659,7.78,0.020686774,3.75,NA,0.073338563,31.02239478,NA
Cynoscion virescens,Sciaenidae,722500,habitat_coastal,demersal,115,NA,1443.494614,0.561883634,4.0427116,Actinopteri,LC,0.025016,0.025016,69.37218463,0.008684166,0.32,NA,0.069733117,32.10552193,NA
Cyttus traversi,Cyttidae,1740000,habitat_deep,bathydemersal,54,NA,2574.854885,0.43137965,3.949320197,Actinopteri,NA,0.190553387,0.190553387,4.17,0.020686774,0.364,NA,0.062909925,26.75713384,NA
Dactylopterus volitans,Dactylopteridae,5692500,habitat_coastal,reef-associated,50,NA,6.205821294,0.6387551,3.65,Actinopteri,LC,0.218337659,0.218337659,10.48565514,0.022602017,0.364,NA,0.067118875,27.95528417,24
Decapterus macrosoma,Carangidae,14297500,pelagic,reef-associated,35,NA,3202.233997,1.339773422,3.454345763,Actinopteri,LC,0.32,0.32,91382,0.0013065,23.92044613,NA,1.105709987,40.87498319,NA
Decapterus maruadsi,Carangidae,9375000,pelagic,reef-associated,30,NA,146120.1126,1.47971252,3.454345763,Actinopteri,LC,0.0013065,0.0013065,69.37218463,8.13E-06,0.311178405,NA,0.013153482,36.31229102,NA
Decapterus russelli,Carangidae,11902500,pelagic,benthopelagic,45,NA,363773.9984,1.232939226,3.68,Actinopteri,LC,0.060991803,0.060991803,69.37218463,0.0013065,5.953570357,NA,0.169517197,43.66195445,NA
Dentex angolensis,Sparidae,622500,habitat_coastal,demersal,37,NA,6022.049797,0.458551505,3.566415446,Actinopteri,NT,0.222006046,0.222006046,3.75,0.025016,0.419377278,NA,0.047375495,25.02172051,NA
Dentex congoensis,Sparidae,485000,habitat_coastal,demersal,50,NA,910.517836,0.553307118,3.743859111,Actinopteri,LC,0.190553387,0.190553387,3.790022135,0.020686774,0.419377278,NA,0.058314923,27.97260903,NA
Dentex dentex,Sparidae,1307500,habitat_reef,benthopelagic,100,NA,13138.0328,0.29493487,4.53,Actinopteri,VU,0.029410133,0.029410133,42.10249306,0.004257833,0.145837,NA,0.075763231,39.27309615,NA
Dentex macrophthalmus,Sparidae,2190000,habitat_coastal,benthopelagic,65,NA,4134.759615,0.459706531,3.501041464,Actinopteri,LC,0.222006046,0.222006046,4.17,0.021891852,0.419377278,NA,0.068864073,28.14887897,NA
Diagramma pictum,Haemulidae,11305000,habitat_reef,reef-associated,100,NA,13.09966939,0.515127504,3.7,Actinopteri,NA,0.029410133,0.029410133,23.36565604,0.004257833,0.568260947,NA,0.133311862,30.56637522,NA
Diapterus auratus,Gerreidae,2477500,habitat_coastal,demersal,42.79999924,NA,1378.245233,1.366610205,2.44,Actinopteri,LC,0.145837,0.145837,220.625,0.02094379,0.419377278,NA,0.080050256,46.75275281,NA
Diastobranchus capensis,Synaphobranchidae,3097500,habitat_deep,bathydemersal,180,NA,2.752697054,0.367639439,4.481651192,Actinopteri,NA,0.218337659,0.218337659,220.625,0.022602017,7.78,NA,0.247710997,34.13703664,NA
Dicentrarchus labrax,Moronidae,1665000,habitat_coastal,demersal,103,european seabass,51902.73934,0.531450639,3.519719745,Actinopteri,LC,0.029410133,0.029410133,69.37218463,0.017712,0.20397299,0.017712,0.076335818,42.01468486,49.17666667
Dicentrarchus punctatus,Moronidae,1585000,habitat_coastal,pelagic-neritic,70,NA,1535.080603,0.492643838,3.958659337,Actinopteri,LC,0.040637322,0.040637322,4.17,0.017712,0.364,NA,0.067018166,26.6434582,NA
Dicologlossa cuneata,Soleidae,1607500,habitat_benthic,demersal,30,NA,33465.21927,0.218533515,3.379632641,Actinopteri,LC,0.003297,0.003297,0.445649557,8.13E-06,0.060991803,NA,0.007260438,56.34244405,NA
Diplodus annularis,Sparidae,1425000,habitat_coastal,benthopelagic,28,NA,3757.532876,0.781098688,3.64,Actinopteri,LC,0.020686774,0.020686774,0.911706935,8.13E-06,0.32,NA,0.01047701,35.82613324,NA
Diplodus sargus,Sparidae,2037500,habitat_reef,demersal,45,white seabream,9479,0.54,3.38,Actinopteri,LC,0.222006046,0.222006046,0.77,0.060991803,0.390708752,0.222006046,0.064888564,30.31937879,NA
Diplodus vulgaris,Sparidae,1907500,habitat_reef,benthopelagic,45,two-banded seabream,1123.212743,0.582831707,3.52,Actinopteri,LC,0.32,0.32,0.760318212,0.060991803,0.419377278,0.419377278,0.063574479,28.18450401,NA
Dissostichus eleginoides,Nototheniidae,6025000,deep,pelagic-oceanic,215,NA,111783.5265,0.107371089,4.49,Actinopteri,NA,0.04451615,0.04451615,28773,0.0017922,0.764606108,NA,0.213902996,56.50242511,NA
Dissostichus mawsoni,Nototheniidae,12715000,deep,pelagic-oceanic,200,NA,59525.89268,0.104337688,3.958659337,Actinopteri,NA,0.027348309,0.027348309,77.88114116,6.04E-04,23.22898081,NA,0.387354362,58.94284732,547
Drepane africana,Drepaneidae,545000,habitat_coastal,benthopelagic,45,NA,20718.22779,0.477805346,3.174171555,Actinopteri,LC,0.222006046,0.222006046,7.78,0.025016,0.419377278,NA,0.071494083,30.33113058,NA
Drepane punctata,Drepaneidae,9855000,habitat_coastal,reef-associated,50,NA,12343.76467,0.537312901,3.379632641,Actinopteri,NA,0.218337659,0.218337659,8.5,0.019141686,0.419377278,NA,0.067488475,29.92457393,NA
Dussumieria acuta,Dussumieriidae,3960000,habitat_coastal,pelagic-neritic,20,NA,166890.2184,0.8976476,3.454345763,Actinopteri,LC,0.003297,0.003297,69.37218463,8.13E-06,0.3026,NA,0.011496414,36.95358062,NA
Dussumieria elopsoides,Dussumieriidae,9642500,habitat_coastal,pelagic-neritic,20,NA,749.7783262,0.787176662,3.454345763,Actinopteri,LC,2.14E-04,2.14E-04,8.5,8.13E-06,0.259189177,NA,0.009815923,36.30987032,NA
Elagatis bipinnulata,Carangidae,15267500,pelagic,reef-associated,180,NA,55659.46335,0.893428233,4.27,Actinopteri,LC,23.22898081,23.22898081,93840.98602,0.048,24.63249455,NA,12.79190768,37.63538674,NA
Eleginus gracilis,Gadidae,3077500,habitat_coastal,demersal,55,NA,285654.0008,0.307311992,4.1,Actinopteri,NA,0.218337659,0.218337659,7.849166287,0.021204,1.699264547,NA,0.069384101,42.74830866,NA
Eleginus nawaga,Gadidae,195000,habitat_coastal,demersal,42,NA,17168.72556,0.379867916,4.238833545,Actinopteri,NA,0.003297,0.003297,8.679299057,6.45E-06,0.166702532,NA,0.007992661,32.41993121,NA
Eleutheronema tetradactylum,Polynemidae,8010000,habitat_coastal,pelagic-neritic,200,NA,41062.71573,0.643974845,4.06,Actinopteri,NA,0.524649642,0.524649642,220.625,0.021204,24.63249455,NA,0.322865771,42.370226,NA
Elops lacerta,Elopidae,542500,habitat_coastal,pelagic-neritic,100,NA,10312.44854,0.593623907,4.238833545,Actinopteri,LC,0.021204,0.021204,69.37218463,0.003297,0.145837,NA,0.07117821,28.98779649,NA
Elops saurus,Elopidae,7810000,habitat_coastal,reef-associated,100,NA,2233.495287,0.57364079,3.49,Actinopteri,LC,0.029410133,0.029410133,69.37218463,0.014020895,0.3026,NA,0.072863547,32.02430763,NA
Encrasicholina punctifer,Engraulidae,8592500,pelagic,reef-associated,13,NA,1435.9987,1.630046044,3.29,Actinopteri,LC,0.0013065,0.0013065,69.37218463,8.13E-06,0.32,NA,0.011713379,38.82104396,NA
Engraulis anchoita,Engraulidae,967500,migratory,pelagic-neritic,17,NA,1175644.452,0.639382033,2.623162279,Actinopteri,NT,0.020686774,0.020686774,69.37218463,8.13E-06,0.218337659,NA,0.009487446,48.42733423,NA
Engraulis encrasicolus,Engraulidae,3817500,migratory,pelagic-neritic,20,NA,222703.8889,0.556514588,3.192849836,Actinopteri,LC,0.060991803,0.060991803,5.523838677,8.13E-06,0.32,NA,0.010401397,39.352493,37
Engraulis japonicus,Engraulidae,760000,pelagic,pelagic-neritic,18,NA,1215063.273,0.795607578,3.14,Actinopteri,LC,0.020686774,0.020686774,69.37218463,8.13E-06,0.259189177,NA,0.010445309,47.47253833,47
Engraulis mordax,Engraulidae,360000,pelagic,pelagic-neritic,24.79999924,NA,424727.4555,0.452423043,3.174171555,Actinopteri,LC,0.003297,0.003297,3.75,8.13E-06,0.220164213,NA,0.004865479,35.53136196,32.5
Engraulis ringens,Engraulidae,470000,pelagic,pelagic-neritic,20,NA,6557901.089,0.648902669,2.950032091,Actinopteri,LC,0.021204,0.021204,69.37218463,8.13E-06,0.259189177,NA,0.009782264,61.71822154,74
Eopsetta jordani,Pleuronectidae,1140000,habitat_benthic,demersal,53,NA,46749.37249,0.112547735,4.108085582,Actinopteri,LC,0.04451615,0.04451615,4.438338373,0.003804817,0.301662063,NA,0.049505279,64.39376202,NA
Epigonus telescopus,Epigonidae,8827500,habitat_deep,bathydemersal,75,NA,13691.58919,0.097286004,3.59,Actinopteri,LC,0.048,0.048,39.83,0.02094379,3.75,NA,0.065250825,50.41641654,NA
Epinephelus aeneus,Serranidae,1792500,migratory,demersal,120,NA,5733.711363,0.173225323,4.033372459,Actinopteri,NT,0.029410133,0.029410133,69.37218463,0.004257833,0.166702532,NA,0.068507162,50.45733321,NA
Epinephelus areolatus,Serranidae,12137500,habitat_coastal,reef-associated,47,NA,5778.412723,0.322549477,3.74,Actinopteri,LC,0.048,0.048,24.63249455,0.015758747,8.5,NA,0.119185781,39.74889187,18
Epinephelus chlorostigma,Serranidae,13235000,habitat_coastal,reef-associated,80,NA,363.1224699,0.314979131,4.005355039,Actinopteri,LC,5.55,5.55,91382,0.027348309,23.22898081,NA,1.559643527,39.15809811,NA
Epinephelus fuscoguttatus,Serranidae,9805000,habitat_reef,reef-associated,120,NA,144.5838132,0.269601411,4.145442143,Actinopteri,VU,0.027348309,0.027348309,24.51591858,0.0013065,0.166702532,NA,0.062403648,33.8602726,NA
Epinephelus goreensis,Serranidae,562500,habitat_benthic,demersal,140,NA,641.958191,0.286760108,3.958659337,Actinopteri,NT,0.022602017,0.022602017,69.37218463,0.003297,0.263365588,NA,0.119300261,49.41437008,NA
Epinephelus marginatus,Serranidae,2530000,territorial,reef-associated,150,dusky grouper,43372.70186,0.110074674,4.43,Actinopteri,VU,0.048,0.048,28773,0.0034,1.779346088,0.005312,0.163253304,38.60000998,24.6
