species,genus,subfamily,family,order,class_taxon,super_class,ocean,basin,food_i,food_mode,temp_preferred,temp_range,climate,fecundity_mean,body_shape_i,longevity_wild,oxygen_cons,temp_cons,dev_place,sp_richness,comments,circadian,observed_homerange,n_ind,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,iucn_category,predicted_homerange,predicted_pld,observed_pld,home_range,pld,magnitude_homerange,month_pld,class,class2,class3
Selaroides leptolepis,Selaroides,Caranginae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,28,NA,tropical,NA,fusiform / normal,NA,NA,NA,NA,148,NA,NA,NA,NA,8477500,habitat_coastal,reef-associated,22,NA,374978.549,1.611950512,3.84,LC,0.001785506,39.37285581,NA,0.001785506,39.37285581,-3,2,1,8,mid-low/mid
Selene dorsalis,Selene,Caranginae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,Atlantic,East,"nekton, zoobenthos",generalist,25,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,148,NA,NA,NA,NA,612500,habitat_coastal,demersal,40,NA,20264.77448,0.654916541,4.089693741,LC,0.026994586,30.66942255,NA,0.026994586,30.66942255,-2,2,1,8,mid-low/mid
Selene peruviana,Selene,Caranginae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,Pacific,East,"detritus, nekton, plants, zoobenthos",generalist,NA,NA,subtropical,NA,short and / or deep,NA,NA,NA,NA,148,NA,NA,NA,NA,720000,habitat_coastal,benthopelagic,40,NA,121.8886416,0.882477633,4.26,LC,0.010504236,34.65631084,NA,0.010504236,34.65631084,-2,2,1,8,mid-low/mid
Selene setapinnis,Selene,Caranginae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,Atlantic,West,"nekton, zoobenthos, zooplankton",generalist,25,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,148,NA,NA,NA,NA,3615000,habitat_coastal,benthopelagic,60,NA,11454.45638,0.895328391,3.753420389,LC,0.109933111,37.20284495,NA,0.109933111,37.20284495,-1,2,1,1,mid-high/mid
Semicossyphus pulcher,Semicossyphus,NA,Labridae,Eupercaria/misc,Actinopteri,Osteichthyes,Pacific,East,zoobenthos,specialist,23,NA,subtropical,NA,fusiform / normal,53,NA,NA,planktonic,559,NA,NA,0.111954514,38,222500,habitat_reef,reef-associated,91,california sheephead,27.00400648,0.707450578,3.603965566,VU,0.017749019,31.74508875,47.46666667,0.111954514,47.46666667,-1,2,1,1,mid-high/mid
Seriola dumerili,Seriola,Naucratinae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,27,NA,tropical,NA,fusiform / normal,15,NA,NA,planktonic,148,NA,NA,NA,NA,21225000,habitat_reef,reef-associated,190,NA,12812.99915,0.450960773,4.5,LC,2.507335409,32.69772801,NA,2.507335409,32.69772801,0,2,1,1,mid-high/mid
Seriola lalandi,Seriola,Naucratinae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,25,6,tropical,NA,fusiform / normal,12,655.90002,20,planktonic,148,NA,NA,NA,NA,18980000,habitat_reef,benthopelagic,250,NA,3829.661199,0.434484387,4.16,LC,8.927091881,37.23152714,NA,8.927091881,37.23152714,0,2,1,1,mid-high/mid
Seriola rivoliana,Seriola,Naucratinae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea, Pacific",Both,nekton,specialist,NA,NA,tropical,NA,short and / or deep,NA,NA,NA,NA,148,NA,NA,NA,NA,19202500,pelagic oceanic,reef-associated,160,NA,58.95087627,0.505844898,4.45,LC,1.530538295,30.88392876,NA,1.530538295,30.88392876,0,2,1,1,mid-high/mid
Seriolella brama,Seriolella,NA,Centrolophidae,Scombriformes,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,15,NA,tropical,285000,fusiform / normal,15,NA,NA,planktonic,31,NA,NA,NA,NA,1212500,habitat_coastal,benthopelagic,76,NA,3432.750927,0.250259896,3.762761315,NA,0.080157885,37.86095662,NA,0.080157885,37.86095662,-2,2,1,8,mid-low/mid
Seriolella caerulea,Seriolella,NA,Centrolophidae,Scombriformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,zooplankton,specialist,13,NA,subtropical,NA,fusiform / normal,12,NA,NA,NA,31,NA,NA,NA,NA,1385000,habitat_coastal,pelagic neritic,65,NA,24687.53843,0.332338521,3.267692214,LC,0.186456044,43.31559191,NA,0.186456044,43.31559191,-1,2,1,1,mid-high/mid
