species,common_name,homerange,n_ind,kfin,r_fin,iucn_category,length,diet_troph3,Class,demers_pelag,family,movement_keyword,geog_range,m_fin
Centriscops humerosus,NA,NA,NA,171.320494835916,0.8656290664,LC,30,3.613306492305975,Actinopteri,bathydemersal,Centriscidae,habitat_benthic,2030000,2
Centroberyx affinis,NA,NA,NA,27515.243992656644,0.3223067185,NA,51,3.8374887269697626,Actinopteri,benthopelagic,Berycidae,habitat_coastal,777500,2
Centrophorus granulosus,NA,NA,NA,900.9252335008078,0.04415460742,NA,170,4.11,Elasmobranchii,bathydemersal,Centrophoridae,deep,11912500,3
Centrophorus squamosus,NA,NA,NA,24156.645432913156,0.03057990821,VU,164,4.47,Elasmobranchii,bathydemersal,Centrophoridae,deep,7857500,3
Cephalopholis fulva,NA,NA,NA,168.64800308211014,0.4345856379,LC,44,4.05,Actinopteri,reef-associated,Serranidae,habitat_reef,2405000,2
Cepola macrophthalma,NA,NA,NA,468.73471571250127,0.6627629437,LC,80,3.202305835654118,Actinopteri,demersal,Cepolidae,sedentary,2435000,1
Cetengraulis edentulus,NA,NA,NA,7724.578696243618,0.5081147017,LC,18.200000762939453,2.249531231434602,Actinopteri,pelagic-neritic,Engraulidae,habitat_coastal,1587500,2
Cetengraulis mysticetus,NA,NA,NA,1118371.6153890342,0.8275132588,LC,22,2.585804610154888,Actinopteri,pelagic-neritic,Engraulidae,habitat_coastal,595000,2
Champsocephalus gunnari,NA,NA,NA,19590.15602370023,0.3025856452,NA,66,3.23,Actinopteri,benthopelagic,Channichthyidae,habitat_coastal,492500,2
Channichthys rhinoceratus,NA,NA,NA,856.1592368058215,0.2393947191,NA,60,3.314396846087592,Actinopteri,demersal,Channichthyidae,habitat_coastal,250000,2
Chanos chanos,NA,NA,NA,23425.16313784026,0.5661452141,LC,180,2.5204181874020284,Actinopteri,benthopelagic,Chanidae,habitat_reef,11060000,2
Cheilodactylus variegatus,NA,NA,NA,8316.03384143247,0.3313642119,NA,44,3.65,Actinopteri,benthopelagic,Cheilodactylidae,habitat_coastal,160000,2
Cheimerius nufar,NA,NA,NA,141.3624148719138,0.4379947814,DD,75,3.54,Actinopteri,reef-associated,Sparidae,habitat_reef,3720000,2
Chelidonichthys capensis,NA,NA,NA,8389.892708720317,0.2773189218,LC,75,4.1,Actinopteri,demersal,Triglidae,habitat_benthic,515000,2
Chelidonichthys cuculus,NA,NA,NA,32190.669059889235,0.230982835,LC,70,3.81,Actinopteri,demersal,Triglidae,habitat_benthic,3207500,2
Chelidonichthys kumu,NA,NA,NA,66428.53130424184,0.2307969136,LC,60,3.7160566831935444,Actinopteri,demersal,Triglidae,habitat_benthic,4697500,2
Chelidonichthys lucerna,NA,NA,NA,31757.213114457903,0.3456444355,LC,75.0999984741211,3.98,Actinopteri,demersal,Triglidae,habitat_benthic,2402500,2
Chimaera monstrosa,NA,NA,NA,294.94951383260064,0.1159927323,NT,150,3.52,Holocephali,bathydemersal,Chimaeridae,deep,2207500,3
Chirocentrus dorab,NA,NA,NA,53429.31707799113,0.4013752968,LC,100,4.388603387184907,Actinopteri,reef-associated,Chirocentridae,habitat_coastal,10000000,2
Chirocentrus nudus,NA,NA,NA,75935.19460188715,0.2695672291,LC,100,4.1924439318540925,Actinopteri,pelagic-neritic,Chirocentridae,habitat_coastal,9657500,2
Chloroscombrus chrysurus,NA,NA,NA,60228.065366482726,0.8173003682,LC,65,3.54,Actinopteri,pelagic-neritic,Carangidae,habitat_coastal,4080000,2
Chloroscombrus orqueta,NA,NA,NA,6174.469341378561,0.8836620118,LC,30,2.54,Actinopteri,benthopelagic,Carangidae,habitat_coastal,775000,2
Cilus gilberti,NA,NA,NA,39818.273941559244,0.6246151211,DD,92,3.9402389178573314,Actinopteri,demersal,Sciaenidae,habitat_benthic,285000,2
Clupea harengus,NA,NA,NA,829839.7885025496,0.2164710045,LC,45,3.38,Actinopteri,benthopelagic,Clupeidae,migratory,3810000,3
Clupea pallasii,NA,NA,NA,253446.56424750795,0.56,NA,46,3.16,Actinopteri,pelagic-neritic,Clupeidae,habitat_coastal,5050000,2
Clupeonella cultriventris,NA,NA,NA,126214.60602428044,0.9078983456,LC,14.5,3,Actinopteri,pelagic-neritic,Clupeidae,migratory,270000,3
Coelorinchus chilensis,NA,NA,NA,1276.456542441615,0.2073740791,NA,48,3.8533333333333335,Actinopteri,bathydemersal,Macrouridae,habitat_deep,287500,2
Cololabis saira,NA,NA,NA,1327967.3990410152,0.4612470942,NA,40,3.7440794625265177,Actinopteri,pelagic-oceanic,Scomberesocidae,pelagic,10187500,3
Conger myriaster,NA,NA,NA,265480.48568406317,0.2695223787,LC,100,3.9962844765232783,Actinopteri,bathydemersal,Congridae,habitat_benthic,1475000,1
Conger oceanicus,NA,NA,NA,485.7036385305544,0.2695223787,LC,230,4.5,Actinopteri,demersal,Congridae,territorial,1605000,1
Conger orbignianus,NA,NA,NA,3468.1943795101333,0.269522379,LC,112,3.7534203889708424,Actinopteri,demersal,Congridae,habitat_benthic,515000,2
Conodon nobilis,NA,NA,NA,8375.276066119246,0.654886592,LC,33.599998474121094,3.61,Actinopteri,demersal,Haemulidae,habitat_benthic,2602500,2
Coregonus albula,NA,NA,NA,20850.238192933677,0.4207879027,LC,48,3.1369191901962172,Actinopteri,benthopelagic,Salmonidae,migratory,32500,3
Coregonus lavaretus,NA,NA,NA,18551.5565582474,0.3905233492,VU,73,3.13,Actinopteri,demersal,Salmonidae,habitat_coastal,1395000,2
Coryphaena hippurus,NA,NA,NA,293986.82010652334,0.7955603449,LC,210,4.37,Actinopteri,pelagic-neritic,Coryphaenidae,hms,197602500,3
Coryphaenoides rupestris,NA,NA,NA,511478.7340584192,0.07198689906,CR,110,3.6973748303048954,Actinopteri,bathypelagic,Macrouridae,habitat_deep,2527500,2
Cottoperca gobio,NA,NA,NA,35.335976764838954,0.6301792688,NA,80,4.257830416964364,Actinopteri,demersal,Bovichtidae,territorial,665000,1
Crenidens crenidens,NA,NA,NA,22.55929734622068,0.5189877956,LC,30,2.8940551560929904,Actinopteri,demersal,Sparidae,habitat_coastal,1897500,2
Cromileptes altivelis,NA,NA,NA,191382.41702813693,0.151702421,DD,70,4.4820126516281515,Actinopteri,reef-associated,Serranidae,habitat_reef,7332500,2
Ctenolabrus rupestris,NA,NA,NA,2070.185700919061,0.4919713239,LC,18,3.58,Actinopteri,reef-associated,Labridae,habitat_reef,1272500,2
Cyclopterus lumpus,NA,NA,NA,195061.75142513495,0.1442879898,NA,61,3.89,Actinopteri,benthopelagic,Cyclopteridae,migratory,4235000,3
Cymatoceps nasutus,NA,NA,NA,107.95751442006075,0.1892966887,VU,150,3.6039655658616505,Actinopteri,demersal,Sparidae,habitat_coastal,135000,2
Cynoponticus coniceps,NA,NA,NA,41.31668094629449,0.4092293866,DD,202,4.0429891087449015,Actinopteri,demersal,Muraenesocidae,sedentary,565000,1
Cynoscion acoupa,NA,NA,NA,78789.14733314887,0.3921318233,LC,110,4.06167096163355,Actinopteri,demersal,Sciaenidae,habitat_coastal,1062500,2
Cynoscion analis,NA,NA,NA,24108.18213466556,0.5516308084,LC,47,4.06,Actinopteri,demersal,Sciaenidae,habitat_coastal,12500,2
Cynoscion arenarius,NA,NA,NA,1093.0457778538587,0.7898004068,LC,63.5,4.17,Actinopteri,demersal,Sciaenidae,habitat_coastal,737500,2
Cynoscion guatucupa,NA,NA,NA,12600.547216165818,0.546839108,NA,50,3.7534203889708424,Actinopteri,benthopelagic,Sciaenidae,habitat_coastal,497500,2
Cynoscion jamaicensis,NA,NA,NA,16743.591449251377,0.6613780582,LC,50,3.8655115063027354,Actinopteri,demersal,Sciaenidae,habitat_coastal,1850000,2
Cynoscion leiarchus,NA,NA,NA,3205.040970861221,0.6465826861,LC,90.80000305175781,3.136919243645427,Actinopteri,demersal,Sciaenidae,habitat_coastal,1052500,2
Cynoscion nebulosus,NA,NA,NA,23214.895825921372,0.4366337922,LC,100,3.9962844765232783,Actinopteri,demersal,Sciaenidae,habitat_coastal,557500,2
Cynoscion regalis,NA,NA,NA,39327.358944619264,0.3312515854,NA,98,3.77,Actinopteri,demersal,Sciaenidae,habitat_coastal,320000,2
Cynoscion striatus,NA,NA,NA,93747.47505548633,0.5618836344,NA,60,3.9,Actinopteri,demersal,Sciaenidae,habitat_reef,580000,2
Cynoscion virescens,NA,NA,NA,1443.4946140869483,0.5618836344,LC,115,4.0429891087449015,Actinopteri,demersal,Sciaenidae,habitat_coastal,722500,2
Cyttus traversi,NA,NA,NA,2574.854884717112,0.4313796504,NA,54,3.949579844301656,Actinopteri,bathydemersal,Cyttidae,habitat_deep,1740000,2
Dactylopterus volitans,NA,NA,NA,6.205821294015757,0.6387550998,LC,50,3.65,Actinopteri,reef-associated,Dactylopteridae,habitat_coastal,5692500,2
Dalatias licha,NA,NA,NA,7554.00032715871,0.1295059515,VU,182,4.23,Elasmobranchii,bathydemersal,Dalatiidae,deep,19080000,3
Decapterus macrosoma,NA,NA,NA,3202.23399684667,1.339773422,LC,35,3.454510742752459,Actinopteri,reef-associated,Carangidae,pelagic,14297500,3
Decapterus maruadsi,NA,NA,NA,146120.11257429922,1.47971252,LC,30,3.454510742752459,Actinopteri,reef-associated,Carangidae,pelagic,9375000,3
Decapterus russelli,NA,NA,NA,363773.99837873277,1.232939226,LC,45,3.68,Actinopteri,benthopelagic,Carangidae,pelagic,11902500,3
Dentex angolensis,NA,NA,NA,6022.0497969823045,0.4585515054,NT,37,3.5666018600843525,Actinopteri,demersal,Sparidae,habitat_coastal,622500,2
Dentex congoensis,NA,NA,NA,910.5178360037736,0.5533071183,LC,50,3.7440794625265177,Actinopteri,demersal,Sparidae,habitat_coastal,485000,2
Dentex dentex,NA,NA,NA,13138.032800457235,0.2949348703,VU,100,4.53,Actinopteri,benthopelagic,Sparidae,habitat_reef,1307500,2
Dentex macrophthalmus,NA,NA,NA,4134.7596150924555,0.4597065312,LC,65,3.5012153749740813,Actinopteri,benthopelagic,Sparidae,habitat_coastal,2190000,2
Diagramma pictum,NA,NA,NA,13.09966938994991,0.5151275043,NA,100,3.7,Actinopteri,reef-associated,Haemulidae,habitat_reef,11305000,2
Diapterus auratus,NA,NA,NA,1378.245232699693,1.366610205,LC,42.79999923706055,2.44,Actinopteri,demersal,Gerreidae,habitat_coastal,2477500,2
Diastobranchus capensis,NA,NA,NA,2.752697054425135,0.3676394387,NA,180,4.4820126516281515,Actinopteri,bathydemersal,Synaphobranchidae,habitat_deep,3097500,2
Dicentrarchus punctatus,NA,NA,NA,1535.0806028887991,0.4926438381,LC,70,3.9589207707459804,Actinopteri,pelagic-neritic,Moronidae,habitat_coastal,1585000,2
Dicologlossa cuneata,NA,NA,NA,33465.21926695536,0.2185335151,LC,30,3.379783331197863,Actinopteri,demersal,Soleidae,habitat_benthic,1607500,2
Diplodus annularis,NA,NA,NA,3757.532875600597,0.7810986882,LC,27.5,3.64,Actinopteri,benthopelagic,Sparidae,habitat_coastal,1425000,2
Dipturus batis,NA,NA,NA,16228.27363199018,0.066409282,CR,285,3.52,Elasmobranchii,demersal,Rajidae,habitat_benthic,2040000,2
Dipturus innominatus,NA,NA,NA,50787.082558381015,0.07702100225,LC,240,3.745,Elasmobranchii,demersal,Rajidae,habitat_benthic,1292500,2
Dipturus oxyrinchus,NA,NA,NA,2751.6982668342976,0.162442229,NT,150,3.5,Elasmobranchii,bathydemersal,Rajidae,habitat_benthic,2827500,2
Dissostichus eleginoides,NA,NA,NA,111783.52654729332,0.1073710892,NA,215,4.49,Actinopteri,pelagic-oceanic,Nototheniidae,deep,6025000,3
Dissostichus mawsoni,NA,NA,NA,59525.89267511628,0.1043376877,NA,200,3.9589207707459804,Actinopteri,pelagic-oceanic,Nototheniidae,deep,12715000,3
Drepane africana,NA,NA,NA,20718.22778612518,0.4778053462,LC,45,3.1742829494227247,Actinopteri,benthopelagic,Drepaneidae,habitat_coastal,545000,2
Drepane punctata,NA,NA,NA,12343.764669263224,0.5373129007,NA,50,3.379783331197863,Actinopteri,reef-associated,Drepaneidae,habitat_coastal,9855000,2
Dussumieria acuta,NA,NA,NA,166890.21838859704,0.8976476,LC,20,3.454510742752459,Actinopteri,pelagic-neritic,Dussumieriidae,habitat_coastal,3960000,2
Dussumieria elopsoides,NA,NA,NA,749.7783262214878,0.7871766619,LC,20,3.454510742752459,Actinopteri,pelagic-neritic,Dussumieriidae,habitat_coastal,9642500,2
Elagatis bipinnulata,NA,NA,NA,55659.46335438233,0.8934282331,LC,180,4.27,Actinopteri,reef-associated,Carangidae,pelagic,15267500,3
Eleginus gracilis,NA,NA,NA,285654.00077195815,0.307311992,NA,55,4.1,Actinopteri,demersal,Gadidae,habitat_coastal,3077500,2
Eleginus nawaga,NA,NA,NA,17168.725563019118,0.37986791600000003,NA,42,4.239148564075715,Actinopteri,demersal,Gadidae,habitat_coastal,195000,2
Eleutheronema tetradactylum,NA,NA,NA,41062.71573387311,0.643974845,NA,200,4.06,Actinopteri,pelagic-neritic,Polynemidae,habitat_coastal,8010000,2
Elops lacerta,NA,NA,NA,10312.448544756842,0.5936239074,LC,100,4.239148564075715,Actinopteri,pelagic-neritic,Elopidae,habitat_coastal,542500,2
Elops saurus,NA,NA,NA,2233.495287384894,0.5736407895,LC,100,3.49,Actinopteri,reef-associated,Elopidae,habitat_coastal,7810000,2
Encrasicholina punctifer,NA,NA,NA,1435.998699923841,1.630046044,LC,13,3.29,Actinopteri,reef-associated,Engraulidae,pelagic,8592500,3
Engraulis anchoita,NA,NA,NA,1175644.4519276852,0.6393820325,NT,17,2.6231682892075807,Actinopteri,pelagic-neritic,Engraulidae,migratory,967500,3
Engraulis encrasicolus,NA,NA,NA,222703.88886957662,0.5565145882,LC,20,3.1929648023113737,Actinopteri,pelagic-neritic,Engraulidae,migratory,3817500,3
Engraulis japonicus,NA,NA,NA,1215063.2728582197,0.7956075783,LC,18,3.14,Actinopteri,pelagic-neritic,Engraulidae,pelagic,760000,3
Engraulis mordax,NA,NA,NA,424727.45552127366,0.4524230433,LC,24.799999237060547,3.1742829494227247,Actinopteri,pelagic-neritic,Engraulidae,pelagic,360000,3
Engraulis ringens,NA,NA,NA,6557901.088773522,0.6489026694,LC,20,2.9501006167687196,Actinopteri,pelagic-neritic,Engraulidae,pelagic,470000,3
Eopsetta jordani,NA,NA,NA,46749.37248604061,0.11254773530000001,LC,53,4.108375593855172,Actinopteri,demersal,Pleuronectidae,habitat_benthic,1140000,2
Epigonus telescopus,NA,NA,NA,13691.589192607922,0.09728600393,LC,75,3.59,Actinopteri,bathydemersal,Epigonidae,habitat_deep,8827500,2
Epinephelus aeneus,NA,NA,NA,5733.711363129371,0.1732253225,NT,120,4.033648182300576,Actinopteri,demersal,Serranidae,migratory,1792500,3
Epinephelus areolatus,NA,NA,NA,5778.412723123169,0.3225494767,LC,47,3.74,Actinopteri,reef-associated,Serranidae,habitat_coastal,12137500,2
Epinephelus chlorostigma,NA,NA,NA,363.1224698502327,0.314979131,LC,80,4.0056254029676035,Actinopteri,reef-associated,Serranidae,habitat_coastal,13235000,2
Epinephelus fuscoguttatus,NA,NA,NA,144.58381318848194,0.2696014107,VU,120,4.14573929963247,Actinopteri,reef-associated,Serranidae,habitat_reef,9805000,2
Epinephelus goreensis,NA,NA,NA,641.958191034673,0.2867601077,NT,140,3.9589207707459804,Actinopteri,demersal,Serranidae,habitat_benthic,562500,2
Epinephelus marginatus,NA,NA,NA,43372.701856460466,0.1100746736,VU,150,4.43,Actinopteri,reef-associated,Serranidae,territorial,2530000,1
Epinephelus merra,NA,NA,NA,15891.938161673068,0.4314653084,LC,32,3.82,Actinopteri,reef-associated,Serranidae,habitat_reef,9600000,2
Epinephelus morrhua,NA,NA,NA,204.50170432792785,0.2709806267,LC,90,3.986943550078954,Actinopteri,reef-associated,Serranidae,habitat_reef,9242500,2
Epinephelus multinotatus,NA,NA,NA,3257.8734626243277,0.2729522832,LC,100,3.8841933591913844,Actinopteri,reef-associated,Serranidae,habitat_reef,615000,2
Epinephelus polylepis,NA,NA,NA,2055.955937180372,0.2814087547,LC,61,3.89,Actinopteri,demersal,Serranidae,habitat_benthic,1007500,2
Epinephelus summana,NA,NA,NA,154.74955828383517,0.2867601077,LC,52,3.89,Actinopteri,reef-associated,Serranidae,habitat_reef,345000,2
Eptatretus cirrhatus,NA,NA,NA,1765.1806433137929,0.14925158,LC,97,4.949058973844375,Myxini,bathydemersal,Myxinidae,habitat_benthic,1312500,2
Ethmalosa fimbriata,NA,NA,NA,391365.8494629845,0.6908303225,LC,46,2.5764636926187627,Actinopteri,pelagic-neritic,Clupeidae,habitat_coastal,467500,2
Ethmidium maculatum,NA,NA,NA,32220.378392043676,1.165208538,DD,31.200000762939453,2.07,Actinopteri,pelagic-neritic,Clupeidae,habitat_coastal,310000,2
Etmopterus spinax,NA,NA,NA,193.83592645851564,0.04213873119,LC,60,4.14,Elasmobranchii,bathydemersal,Etmopteridae,deep,4395000,2
Etrumeus whiteheadi,NA,NA,NA,402624.5556677861,0.4238495581,LC,22,3.454510742752459,Actinopteri,pelagic-neritic,Dussumieriidae,habitat_coastal,227500,2
Euthynnus affinis,NA,NA,NA,2460508.9375152444,0.6308334135,LC,100,4.5,Actinopteri,pelagic-neritic,Scombridae,pelagic,14720000,3
Euthynnus alletteratus,NA,NA,NA,115033.10488480341,0.3302552951,LC,122,4.49,Actinopteri,pelagic-oceanic,Scombridae,hms,5647500,3
Euthynnus lineatus,NA,NA,NA,15997.525949105058,0.5161323086,LC,84,3.856170508592798,Actinopteri,pelagic-oceanic,Scombridae,pelagic,477500,3
Eutrigla gurnardus,NA,NA,NA,147714.14684028176,0.181531455,NA,60,3.87,Actinopteri,demersal,Triglidae,habitat_benthic,2227500,2
Fistularia corneta,NA,NA,NA,2562.3175791475433,0.8585337032,LC,106,4.4820126516281515,Actinopteri,pelagic-neritic,Fistulariidae,habitat_reef,792500,2
Gadiculus argenteus,NA,NA,NA,159.7449862704669,0.9170866856,NA,15.25,3.6,Actinopteri,pelagic-oceanic,Gadidae,habitat_deep,1740000,2
Gadus macrocephalus,NA,NA,NA,1100617.3581635745,0.2548222923,NA,119,3.9699999999999998,Actinopteri,demersal,Gadidae,habitat_deep,2920000,2
Galeoides decadactylus,NA,NA,NA,44470.1574983306,0.50957181519999994,NT,50,3.613306492305975,Actinopteri,demersal,Polynemidae,habitat_coastal,197500,2
Galeorhinus galeus,NA,NA,NA,60630.747612105624,0.04309588951,VU,193,4.34,Elasmobranchii,benthopelagic,Triakidae,hms,9010000,3
Galeus melastomus,NA,NA,NA,2753.355547751898,0.1883592551,LC,75,4.17,Elasmobranchii,demersal,Pentanchidae,habitat_deep,3435000,2
Gasterochisma melampus,NA,NA,NA,20.80741126273528,0.5965182234,LC,164,4.341898754963284,Actinopteri,pelagic-oceanic,Scombridae,deep,63335000,3
Gasterosteus aculeatus,NA,NA,NA,579.82452838535,0.9976328556,LC,11,3.31,Actinopteri,benthopelagic,Gasterosteidae,habitat_coastal,6017500,2
Genyonemus lineatus,NA,NA,NA,822.3303961893151,0.6246151211,NT,41,3.4825335220854328,Actinopteri,benthopelagic,Sciaenidae,habitat_benthic,135000,2
Genypterus blacodes,NA,NA,NA,209832.9261086881,0.1308780432,NA,200,4.183103005409768,Actinopteri,bathydemersal,Ophidiidae,habitat_benthic,2330000,2
Genypterus capensis,NA,NA,NA,24613.76694431495,0.1821406699,NA,180,4.425967092962205,Actinopteri,bathydemersal,Ophidiidae,habitat_benthic,127500,2
Genypterus chilensis,NA,NA,NA,22836.358975755982,0.2034163154,NA,150,3.9402389178573314,Actinopteri,bathydemersal,Ophidiidae,habitat_benthic,125000,2
Gerres nigri,NA,NA,NA,1825.975119143567,1.495810086,LC,20,3.258351287421645,Actinopteri,benthopelagic,Gerreidae,habitat_benthic,572500,2
Gerres oblongus,NA,NA,NA,14.317325575246857,1.495810086,LC,30,3.5479200071957036,Actinopteri,reef-associated,Gerreidae,habitat_reef,9027500,2
Gerres oyena,NA,NA,NA,563.1579604100426,1.594337758,LC,30,2.819327744538395,Actinopteri,reef-associated,Gerreidae,habitat_coastal,8420000,2
Ginglymostoma cirratum,NA,NA,NA,2984.1757289553293,0.07218341665,DD,430,4.15,Elasmobranchii,reef-associated,Ginglymostomatidae,habitat_reef,3287500,2
Glossanodon semifasciatus,NA,NA,NA,67613.9722499833,0.5186609636,NA,21,3.2116466552000227,Actinopteri,benthopelagic,Argentinidae,pelagic,532500,3
Glyptocephalus cynoglossus,NA,NA,NA,64040.31604992252,0.1498201538,NA,60,3.17,Actinopteri,demersal,Pleuronectidae,habitat_benthic,3570000,2
Glyptocephalus zachirus,NA,NA,NA,23361.490952600205,0.1865458848,NA,60,3.25,Actinopteri,demersal,Pleuronectidae,habitat_benthic,1320000,2
Gnathanodon speciosus,NA,NA,NA,5597.4384882991935,0.7060493846,LC,120,3.8655115063027354,Actinopteri,reef-associated,Carangidae,habitat_reef,13205000,2
Grammoplites suppositus,NA,NA,NA,144.21681108889783,0.4214210503,LC,31,3.84,Actinopteri,demersal,Platycephalidae,habitat_benthic,1385000,2
Gymnosarda unicolor,NA,NA,NA,2718.783662226001,0.5965182234,LC,247.97999572753906,4.4820126516281515,Actinopteri,reef-associated,Scombridae,pelagic,12880000,3
Haemulon plumierii,NA,NA,NA,431.55926458169665,0.5786551709,LC,53,3.82,Actinopteri,reef-associated,Haemulidae,habitat_reef,2540000,2
Harpadon nehereus,NA,NA,NA,1686496.5411288124,0.4522199918,NA,40,4.089693740966523,Actinopteri,benthopelagic,Synodontidae,habitat_benthic,7832500,2
Helicolenus dactylopterus,NA,NA,NA,118996.26517762872,0.1493212915,LC,50,3.54,Actinopteri,bathydemersal,Sebastidae,habitat_benthic,11510000,2
Hemiramphus balao,NA,NA,NA,65.16240182092822,0.8891016657,LC,40,3.85,Actinopteri,reef-associated,Hemiramphidae,pelagic,2820000,3
Hemiramphus brasiliensis,NA,NA,NA,6751.508337251583,0.7472244346,LC,55,2.28,Actinopteri,reef-associated,Hemiramphidae,habitat_coastal,2202500,2
Herklotsichthys quadrimaculatus,NA,NA,NA,44.004551962590575,1.740456307,LC,25,3.57,Actinopteri,reef-associated,Clupeidae,habitat_coastal,9417500,2
Hexagrammos decagrammus,NA,NA,NA,481.14676030663554,0.3408523418,NA,61,3.631988265020809,Actinopteri,demersal,Hexagrammidae,habitat_reef,1112500,2
Hexanchus griseus,NA,NA,NA,336.9225229264267,0.1641920508,NT,482,4.48,Elasmobranchii,bathydemersal,Hexanchidae,deep,38262500,3
Hilsa kelee,NA,NA,NA,59083.71456428854,1.080199315,NA,35,2.940759788314613,Actinopteri,pelagic-neritic,Clupeidae,habitat_coastal,6355000,2
Hippoglossoides elassodon,NA,NA,NA,2483813.4651043043,0.1797748109,NA,52,3.67,Actinopteri,demersal,Pleuronectidae,habitat_benthic,277500,2
Hippoglossoides platessoides,NA,NA,NA,139541.6729962515,0.1450003553,NA,82.5999984741211,4.08,Actinopteri,demersal,Pleuronectidae,habitat_benthic,4190000,2
Hippoglossus hippoglossus,NA,NA,NA,73314.44158807241,0.1185026103,EN,470,4,Actinopteri,demersal,Pleuronectidae,habitat_benthic,5017500,2
Hoplopagrus guentherii,NA,NA,NA,273.06185256926335,0.5028750765,LC,92,3.8,Actinopteri,reef-associated,Lutjanidae,habitat_reef,632500,2
Hoplostethus atlanticus,NA,NA,NA,24191.11096882152,0.1611654923,NA,75,4.25,Actinopteri,bathypelagic,Trachichthyidae,sedentary,9397500,1
Hydrolagus novaezealandiae,NA,NA,NA,74948.21148917518,0.1917834157,LC,96,3.5666018600843525,Holocephali,bathydemersal,Chimaeridae,deep,645000,3
Hyperoglyphe antarctica,NA,NA,NA,13510.435230581385,0.1805003287,NA,140,3.968261697190305,Actinopteri,benthopelagic,Centrolophidae,habitat_reef,2662500,2
Hyporthodus flavolimbatus,NA,NA,NA,8566.799219989503,0.175094567,VU,115,3.846829653414087,Actinopteri,demersal,Serranidae,habitat_benthic,2205000,2
Hyporthodus mystacinus,NA,NA,NA,30.083619608034695,0.192928912,LC,160,4.58,Actinopteri,bathydemersal,Serranidae,habitat_deep,1890000,2
Hyporthodus nigritus,NA,NA,NA,245.85665135556928,0.138991562,NT,230,3.986943550078954,Actinopteri,demersal,Serranidae,habitat_reef,2572500,2
Hyporthodus niveatus,NA,NA,NA,4588.700078947203,0.165514413,VU,122,4.052330035189225,Actinopteri,demersal,Serranidae,habitat_reef,2735000,2
Ilisha africana,NA,NA,NA,77979.82002749661,1.109770194,LC,30,3.59,Actinopteri,pelagic-neritic,Pristigasteridae,habitat_coastal,425000,2
Ilisha elongata,NA,NA,NA,596680.1310566297,0.9740023402,LC,60,3.8188068740811136,Actinopteri,pelagic-neritic,Pristigasteridae,habitat_coastal,2587500,2
Isacia conceptionis,NA,NA,NA,12174.16282054527,0.654886592,LC,60,2.99680534698056,Actinopteri,benthopelagic,Haemulidae,habitat_coastal,300000,2
Isopisthus parvipinnis,NA,NA,NA,217.58038736023806,0.6246151211,LC,41.5,4.04,Actinopteri,demersal,Sciaenidae,habitat_coastal,742500,2
Istiompax indica,NA,NA,NA,40942.50606087731,0.361545431,DD,465,4.5,Actinopteri,pelagic-oceanic,Istiophoridae,hms,171002500,3
Istiophorus albicans,NA,NA,NA,3939.5692179131056,0.5775285653,NA,315,4.5,Actinopteri,pelagic-oceanic,Istiophoridae,hms,18742500,3
Isurus oxyrinchus,NA,NA,NA,6769.666358266072,0.0897181586,VU,445,4.5,Elasmobranchii,pelagic-oceanic,Lamnidae,migratory,231972500,3
Joturus pichardi,NA,NA,NA,2036.1753966180443,0.6364147225,NA,61,2.99680534698056,Actinopteri,pelagic-neritic,Mugilidae,habitat_coastal,587500,2
Kajikia albida,NA,NA,NA,12797.196457542877,0.387272323,VU,300,4.49,Actinopteri,pelagic-oceanic,Istiophoridae,hms,48362500,3
Kajikia audax,NA,NA,NA,42349.000654081916,0.347408374,NT,420,4.4820126516281515,Actinopteri,pelagic-oceanic,Istiophoridae,pelagic,157757500,3
Kathetostoma giganteum,NA,NA,NA,4247.640989352842,0.2862765481,NA,90,4.211125784742741,Actinopteri,demersal,Uranoscopidae,sedentary,747500,1
Katsuwonus pelamis,NA,NA,NA,4403649.089942738,0.5043825825,LC,110,4.43,Actinopteri,pelagic-oceanic,Scombridae,pelagic,251292500,3
Konosirus punctatus,NA,NA,NA,134189.83957464725,0.792958456,LC,32,3.0248281263135333,Actinopteri,pelagic-neritic,Clupeidae,habitat_coastal,495000,2
Lactarius lactarius,NA,NA,NA,71361.18438762854,0.8941727712,NA,40,4.17,Actinopteri,pelagic-neritic,Lactariidae,habitat_coastal,10862500,2
Lamna nasus,NA,NA,NA,2664.4289093592934,0.04407999012,VU,350,4.57,Elasmobranchii,pelagic-oceanic,Lamnidae,migratory,65807500,3
Lampris guttatus,NA,NA,NA,2613.572654783526,0.6052573274,LC,200,4.220466711187066,Actinopteri,bathypelagic,Lampridae,pelagic,271130000,3
Larimichthys crocea,NA,NA,NA,464679.6398047916,0.601331042,NA,80,3.7534203889708424,Actinopteri,benthopelagic,Sciaenidae,habitat_coastal,1287500,2
Larimichthys polyactis,NA,NA,NA,3116786.6233332306,0.5467922171,NA,40,3.72,Actinopteri,benthopelagic,Sciaenidae,habitat_coastal,982500,2
Larimus breviceps,NA,NA,NA,1092.6893174085483,0.7168332183,LC,31,3.52,Actinopteri,demersal,Sciaenidae,habitat_coastal,1682500,2
Lateolabrax japonicus,NA,NA,NA,104691.82106791934,0.2803797632,NA,102,3.1,Actinopteri,reef-associated,Lateolabracidae,habitat_reef,1177500,2
