species,common_name,homerange,n_ind,kfin,r_fin,iucn_category,length,diet_troph3,Class,demers_pelag,family,movement_keyword,geog_range,m_fin
Gadus morhua,atlantic cod,0.27,9,1024823.8232062228,0.3688136823,VU,200,4.09,Actinopteri,benthopelagic,Gadidae,migratory,4322500,3
Gadus morhua,atlantic cod,0.071,50,1024823.8232062228,0.3688136823,VU,200,4.09,Actinopteri,benthopelagic,Gadidae,migratory,4322500,3
Gadus morhua,atlantic cod,100.7625,8,1024823.8232062228,0.3688136823,VU,200,4.09,Actinopteri,benthopelagic,Gadidae,migratory,4322500,3
Gadus morhua,atlantic cod,47.4,3,1024823.8232062228,0.3688136823,VU,200,4.09,Actinopteri,benthopelagic,Gadidae,migratory,4322500,3
Gadus morhua,atlantic cod,0.003466,4,1024823.8232062228,0.3688136823,VU,200,4.09,Actinopteri,benthopelagic,Gadidae,migratory,4322500,3
Galeocerdo cuvier,tiger shark,30.825,42,190.89480165399544,0.07620951369,NT,750,4.54,Elasmobranchii,benthopelagic,Carcharhinidae,hms,17272500,3
Galeocerdo cuvier,tiger shark,6.3,34,190.89480165399544,0.07620951369,NT,750,4.54,Elasmobranchii,benthopelagic,Carcharhinidae,hms,17272500,3
Girella tricuspidata,parore,0.02501575,8,9809.279051209882,0.1776933851,NA,71,2.09,Actinopteri,benthopelagic,Girellidae,habitat_coastal,545000,2
Istiophorus platypterus,indo-pacific sailfish,97400000,19,229747.16490634848,0.4661668493,LC,348,4.5,Actinopteri,pelagic-oceanic,Istiophoridae,hms,194122500,3
Istiophorus platypterus,indo-pacific sailfish,52100,2,229747.16490634848,0.4661668493,LC,348,4.5,Actinopteri,pelagic-oceanic,Istiophoridae,hms,194122500,3
Labrus bergylta,ballan wrasse,0.00403,2,832.785093246091,0.2079384002,LC,65.9000015258789,3.2,Actinopteri,reef-associated,Labridae,habitat_reef,872500,2
Labrus bergylta,ballan wrasse,0.091,25,832.785093246091,0.2079384002,LC,65.9000015258789,3.2,Actinopteri,reef-associated,Labridae,habitat_reef,872500,2
Lachnolaimus maximus,hogfish,0.00123,54,1005.5872694257348,0.5032203722,VU,91,4.17,Actinopteri,reef-associated,Labridae,habitat_reef,1942500,2
Lethrinus harak,thumbprint emperor,0.001988,21,139.7279869826892,0.3956830782,LC,50,3.59,Actinopteri,reef-associated,Lethrinidae,habitat_reef,8735000,2
Lethrinus nebulosus,spangled emperor,8.5,39,540.0978941589677,0.3348281894,LC,87,3.76,Actinopteri,reef-associated,Lethrinidae,habitat_reef,11485000,2
Lutjanus analis,mutton snapper,7.64,1,158.9383908151658,0.3749125664,NT,94,3.91,Actinopteri,reef-associated,Lutjanidae,habitat_reef,2712500,2
Lutjanus analis,mutton snapper,0.103,6,158.9383908151658,0.3749125664,NT,94,3.91,Actinopteri,reef-associated,Lutjanidae,habitat_reef,2712500,2
Lutjanus campechanus,red snapper,0.01374751,59,16964.466804844546,0.3538694183,VU,100,3.9402389178573314,Actinopteri,reef-associated,Lutjanidae,habitat_reef,2282500,2
Lutjanus campechanus,northern red snapper,0.002866,9,16964.466804844546,0.3538694183,VU,100,3.9402389178573314,Actinopteri,reef-associated,Lutjanidae,habitat_reef,2282500,2
Lutjanus campechanus,northern red snapper,0.006204,3,16964.466804844546,0.3538694183,VU,100,3.9402389178573314,Actinopteri,reef-associated,Lutjanidae,habitat_reef,2282500,2
Lutjanus griseus,grey snapper,0.145837,14,1831.6955488690537,0.3286310328,LC,89,4.23,Actinopteri,reef-associated,Lutjanidae,habitat_reef,2207500,2
Makaira nigricans,blue marlin,114000,1,135732.0484787487,0.2678543083,VU,500,4.49,Actinopteri,pelagic-oceanic,Istiophoridae,hms,191340000,3
Morone saxatilis,striped bass,7.78,214,27392.262099169242,0.2553288215,LC,200,4.65,Actinopteri,demersal,Moronidae,habitat_coastal,565000,2
Mulloidichthys flavolineatus,white goatfish,0.0054,4,351.5035609914876,0.798341841,LC,43,3.84,Actinopteri,reef-associated,Mullidae,habitat_reef,11047500,2
Mycteroperca microlepis,gag,0.0034,5,14127.232098197635,0.1768040606,VU,145,3.65,Actinopteri,reef-associated,Serranidae,habitat_reef,1780000,2
Naso unicornis,bluespine unicornfish,0.0321,7,2152.0863835424575,0.3373340427,LC,70,2.305576790100549,Actinopteri,reef-associated,Acanthuridae,habitat_reef,11817500,2
Ocyurus chrysurus,yellowtail snapper,4.17,4,106024.54373527516,0.4739258499,DD,86.30000305175781,4.03,Actinopteri,reef-associated,Lutjanidae,habitat_reef,2962500,2
