species,observed_homerange,family,n_ind,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,class,iucn_category,predicted_homerange,predicted_pld,observed_pld
Epinephelus morio,2.09,Serranidae,28,3007500,habitat_benthic,reef-associated,125,red grouper,44841.13184,0.214918572,3.5,Actinopteri,VU,0.273267289,53.7506019,40
Epinephelus striatus,0.0183,Serranidae,22,2580000,habitat_reef,reef-associated,122,nassau grouper,2316.178743,0.263107501,4.06,Actinopteri,CR,0.071196634,39.21400964,42
Epinephelus tauvina,0.344,Serranidae,12,13810000,habitat_reef,reef-associated,100,greasy grouper,14708.16501,0.187076498,4.136398373,Actinopteri,DD,0.814134844,35.52875374,NA
Lachnolaimus maximus,0.00123,Labridae,54,1942500,habitat_reef,reef-associated,91,hogfish,1005.587269,0.503220372,4.17,Actinopteri,VU,0.058225423,26.55848538,25.9
Lethrinus harak,0.001988,Lethrinidae,21,8735000,habitat_reef,reef-associated,50,thumbprint emperor,139.727987,0.395683078,3.59,Actinopteri,LC,0.054074772,29.09891138,28
Lethrinus nebulosus,8.5,Lethrinidae,39,11485000,habitat_reef,reef-associated,87,spangled emperor,540.0978942,0.334828189,3.76,Actinopteri,LC,0.919770617,35.98728216,32.7
Lutjanus griseus,0.145837,Lutjanidae,14,2207500,habitat_reef,reef-associated,89,grey snapper,1831.695549,0.328631033,4.23,Actinopteri,LC,0.065570301,33.35153056,32.4
Makaira nigricans,114000,Istiophoridae,1,191340000,hms,pelagic-oceanic,500,blue marlin,135732.0485,0.267854308,4.49,Actinopteri,VU,94832.83353,35.37365082,NA
Morone saxatilis,7.78,Moronidae,214,565000,habitat_coastal,demersal,200,striped bass,27392.2621,0.255328822,4.65,Actinopteri,LC,0.118509869,41.47444718,33
Mulloidichthys flavolineatus,0.0054,Mullidae,4,11047500,habitat_reef,reef-associated,43,white goatfish,351.503561,0.798341841,3.84,Actinopteri,LC,0.053492931,43.07198643,60.1
Mycteroperca microlepis,0.0034,Serranidae,5,1780000,habitat_reef,reef-associated,145,gag,14127.2321,0.176804061,3.65,Actinopteri,VU,0.159129657,39.73844218,43
Naso unicornis,0.0321,Acanthuridae,7,11817500,habitat_reef,reef-associated,70,bluespine unicornfish,2152.086384,0.337334043,2.30557679,Actinopteri,LC,0.931325766,54.18047184,73.9
Ocyurus chrysurus,4.17,Lutjanidae,4,2962500,habitat_reef,reef-associated,86.30000305,yellowtail snapper,106024.5437,0.47392585,4.03,Actinopteri,DD,0.238323276,31.80770615,30.9
Ophiodon elongatus,0.0019795,Hexagrammidae,9,722500,migratory,demersal,152,lingcod,37899.04791,0.142917331,4.53,Actinopteri,NA,0.074369631,44.06271512,NA
Pagrus pagrus,0.303,Sparidae,5,5512500,habitat_reef,benthopelagic,91,red porgy,69501.76973,0.393674465,3.86,Actinopteri,LC,0.270792775,37.65994697,38
Paralichthys olivaceus,1.49E-05,Paralichthyidae,4,1642500,habitat_benthic,demersal,103,bastard halibut,5662.614177,0.873733883,4.46,Actinopteri,NA,0.081110817,48.44559799,NA
Parophrys vetulus,0.027,Pleuronectidae,8,1230000,migratory,demersal,49,english sole,21879.97938,0.313793044,3.445169816,Actinopteri,NA,0.111630441,46.12622026,NA
Plectropomus areolatus,0.048,Serranidae,15,5310000,migratory,reef-associated,80,squaretail coralgrouper,3094.997213,0.321726946,4.482012652,Actinopteri,VU,0.047396272,34.14482714,NA
